Frame,Angulo Codo,Angulo Rodilla,Angulo Tronco,Manos Sobre Frente
0.0,92.0843221125981,175.95558203539647,114.38219351386218,True
0.0,87.77601086525358,177.39930782478757,113.68135531035307,True
0.0,83.27829920234532,178.1331655986842,113.67628822112448,True
0.0,84.31609900630887,179.02471655236175,113.37308307831256,True
0.0,93.32791554568026,179.78958849078995,115.48588268474042,True
0.0,111.55349457881933,179.0193761625215,117.20425082730446,True
0.0,116.4699254245801,178.96049811021734,117.29557293756537,True
0.0,113.7654473149425,179.02426467902114,118.72451376357658,True
0.0,112.92739762953252,177.32609358524712,119.61351894507425,True
0.0,113.33077320758261,174.3747537576209,119.41400244335729,True
0.0,115.98642737055503,172.87141403531606,119.92420525755453,True
0.0,116.47713478726216,172.04217152870686,119.66659102791243,True
0.0,115.45889519141056,169.6948187521353,119.93453617000338,True
0.0,113.48361862419114,168.73363705554323,119.38753268043331,True
0.0,112.961853187061,168.70251187846557,119.52358400697047,True
0.0,112.2815727405706,168.66347001512167,120.33150493884024,True
0.0,111.82377070696828,169.01120071795359,120.33835183300558,True
0.0,111.4974744246237,168.42885898096193,120.64169646090758,True
0.0,110.72025142974773,168.33000751540422,120.53745590309063,True
0.0,110.551992914032,167.63272799868486,120.34325710256746,True
0.0,110.3892716237859,165.9209410847936,119.38543823425327,True
0.0,109.59808785306751,166.27158933702432,119.44571857429251,True
0.0,108.01775355271124,167.62503591869984,118.40749748213113,True
0.0,105.85670785910249,169.14216244986616,117.21320248553569,True
0.0,102.90475745230306,170.1002641693283,116.56274274101398,True
0.0,99.0248852719767,168.74325368162064,117.42556929527294,True
0.0,107.54359249568876,169.20608259438677,116.42690176881624,True
0.0,120.80397530236068,170.02374774864293,116.75121800601778,True
0.0,126.6587819400502,171.11207625532873,116.5158612093511,True
0.0,125.6430893500046,171.89349861798567,116.83483097676111,True
0.0,120.94539199418804,172.29477612718276,118.13621713499374,True
0.0,117.00820390115139,172.89356307846336,118.8245214368884,True
0.0,115.07329122468373,173.18838033063182,118.48515479441977,True
0.0,115.86172707540062,173.38466843704174,118.693936320792,True
0.0,114.67303129552965,172.9295114408618,118.03137475839296,True
0.0,110.63116796695768,173.04531025725476,120.04058974692698,True
0.0,111.53781724299053,173.04994755674082,121.03117954915422,True
0.0,111.01219811502897,172.76792873459644,121.54313062604072,True
0.0,110.86433913025563,173.12138496739368,121.81884306999295,True
0.0,112.1413913065959,172.542097452616,121.14597553876536,True
0.0,115.01639287432174,171.4339818328879,121.55285916632968,True
